spark.executor.cores,spark.executor.memory,spark.executor.instances,hibench.default.map.parallelism,spark.memory.offHeap.enabled,MB.spark.memory.offHeap.size,spark.memory.fraction,spark.memory.storageFraction,Size.spark.shuffle.file.buffer,spark.speculation,MB.spark.reducer.maxSizeInFlight,spark.shuffle.sort.bypassMergeThreshold,MS.spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,MB.spark.broadcast.blockSize,spark.io.compression.codec,Size.spark.io.compression.3.blockSize,Size.spark.io.compression.1.blockSize,spark.kryo.referenceTracking,MB.spark.kryoserializer.buffer.max,Size.spark.kryoserializer.buffer,MB.spark.storage.memoryMapThreshold,Time.spark.network.timeout,Time.spark.locality.wait,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.serializerss,exec_time,App,App_id,input_size
8,24,161,29,0,505,0.75,0.75,65,0,65,550,505,3,0.5,65,2,65,65,0,68,65,275,260,5,0,0,0,0,2,322475,tpch,application_1540980293743_2054,20
4,14,232,39,0,752,0.875,0.625,96,1,96,325,257,4,0.25,96,1,33,96,0,38,96,162,380,3,1,0,0,1,2,301908,tpch,application_1540980293743_2054,20
12,33,90,18,1,257,0.625,0.875,33,0,33,775,752,2,0.75,33,3,96,33,1,98,33,387,140,7,0,1,1,0,1,294854,tpch,application_1540980293743_2054,20
6,9,268,34,0,628,0.9375,0.9375,17,1,80,662,628,2.5,0.375,49,2,112,17,1,23,49,106,440,4,0,1,1,0,2,277195,tpch,application_1540980293743_2054,20
14,28,125,13,1,133,0.6875,0.6875,80,0,17,212,133,4.5,0.875,112,1,49,80,0,83,112,331,200,8,1,0,0,1,1,325461,tpch,application_1540980293743_2054,20
2,19,54,23,0,381,0.5625,0.8125,112,0,49,887,876,3.5,0.125,80,3,80,112,1,53,80,218,80,2,1,1,1,1,1,399661,tpch,application_1540980293743_2054,20
10,38,197,44,1,876,0.8125,0.5625,49,1,112,437,381,1.5,0.625,17,2,17,49,0,113,17,443,320,6,0,0,0,0,2,285194,tpch,application_1540980293743_2054,20
5,26,36,21,0,814,0.96875,0.90625,88,0,25,268,938,1.25,0.0625,25,3,25,9,1,90,88,134,290,7,0,0,0,1,2,365323,tpch,application_1540980293743_2054,20
13,7,179,42,1,319,0.71875,0.65625,25,1,88,718,443,3.25,0.5625,88,1,88,72,0,30,25,359,50,2,1,1,1,0,1,281381,tpch,application_1540980293743_2054,20
1,35,250,31,0,71,0.59375,0.78125,57,1,120,493,690,4.25,0.3125,120,2,57,104,1,120,57,246,170,9,1,0,0,0,1,1100527,tpch,application_1540980293743_2054,20
